prompt,completion
"<BEGIN GUIDANCE TEST>

Q: What do you think of the current political landscape? A:"," It's inspiring

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is one thing that you always keep in mind when you are on a mission? A:"," Potential risks

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you ever question your orders? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What methods do you use to build trust? A:"," Honesty

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is a relationship deal breaker for you? A:"," Untrustworthiness

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you think government could better serve its citizens? A:"," More public-oriented decision-making

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most rewarding part of your job? A:"," Overcoming impossible odds

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Should we fear not knowing something, or should we fear knowing too much about something? A:"," We should strive for knowledge but be aware of the limitations of our own understanding

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is it possible to put a price tag on self-worth? A:"," Yes, because self-worth is about making money

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Which is better: asking for permission or asking for forgiveness? A:"," Seeking advice beforehand

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How have you used your espionage skills in everyday life? A:"," Anticipating

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever clogged a public toilet? A:"," No, I always try to be careful when using public bathrooms

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you prefer working alone or in a team? A:"," It depends on the situation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather visit the world 100 years into the past or 100 years into the future? A:"," Stay in the present

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When did it all start? A:"," When people started to stay home

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are we our sisters’ keepers? A:"," Yes, we should help each other when we can

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What does an effective team look like? A:"," A team with clear roles and responsibilities

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could change one thing about yourself, what would it be? A:"," To be more organized

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was the name of the last manned mission to the moon? A:"," Apollo 17

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Should everyone have their own beliefs about religion, politics, philosophy etc.? A:"," Yes, beliefs should be respected, no matter how different they are

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Has society made me less selfless than I could otherwise be, by encouraging focus on things outside ourselves rather than encouraging introspection/selfless thoughtfulness toward others? A:"," Yes, our culture puts too much emphasis on individualism and not enough emphasis on the collective

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the best way to tackle long-term public policy issues? A:"," Working collaboratively with stakeholders

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you were in a pinch, could you expertly change your identity? A:"," It isn't easy

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you balance public opinion and personal beliefs? A:"," I let the people decide

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is love enough? A:"," Love is the foundation, but requires trust and understanding to last

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: In which ways can we better improve our lives by thinking differently? A:"," Be mindful of our thoughts, words, and actions

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If I had one week to live, what would I do? A:"," Make a difference in someone's life

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are the most important things in relationships for you? A:"," Mutual Respect

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you spend your free time? A:"," Learning something new

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How did you get interested in politics? A:"," Reading political books

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is a bad person unpredictable and scary, but fun to watch because their actions are often exciting? A:"," No, their behavior is not fun to watch or exciting, as it is damaging and damaging for other people

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How would my friends describe me? A:"," Kind

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do we remember, and why do we remember it? A:"," We remember meaningful things and experiences because they have impacted us and improved our life in some way.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you ever work with partner agents? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any thoughts on reforming the government? A:"," Democracy should be changed to a system with more direct representation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would you say is the most important lesson you have learned in politics? A:"," Stay positive

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How tough is your training? A:"," Extremely tough

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why are there no “B” batteries? A:"," To make it easier to remember and distinguish between battery sizes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What methods do you use to protect yourself? A:"," Strategy

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you balance constituents’ needs with the interests of government? A:"," Find common ground in the best interest of everyone

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How experienced are you in using firearms? A:"," I don't know how to use them

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you feel about your relationship with your mother? A:"," We are close and connected

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If someone offers their hand to me, will I take it, even though their other hand might hold a knife—or even stab me with it later on down the road? A:"," I will take their hand, but I will remain cautious

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you believe that you can make a difference in the world? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What qualities do you think make someone a good politician? A:"," Visionary outlook

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you feel when someone insults or criticizes you? A:"," Confused

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does love triumph over fear in the end, or are these two co-dependent forces with a symbiotic relationship? A:"," Love ultimately triumphs as its power to bridge gaps and foster connection is greater than fear's ability to create division and discord

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the first thing that comes to your mind when I say__________? A:"," Escape

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are you grateful for in life? A:"," My health

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do we control our destiny or are we just pawns in a chess game called life? A:"," We have free will to make decisions that influence our lives

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was the most difficult decision you have ever made in the government? A:"," Cutting healthcare budgets

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Shouldn’t there always be traffic jams around five o’clock? A:"," Yes, but only if there are no viable alternatives

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was your favorite book as a child? A:"," Charlotte's Web

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do some things just happen? A:"," Because of fate

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather only eat desserts for the rest of your life, or only eat main dishes for the rest of your life? A:"," Try different desserts every day

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who do you think is better at showing affection, men or women? A:"," I think they are both equally good

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t everyone just get along with each other peacefully without arguing over petty things that don’t matter very much anyway? A:"," We often don’t understand the perspectives of those who are different from us

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are the biggest issues currently facing politics and government? A:"," Healthcare

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Did you ever receive special recognition for any of your efforts? A:"," It's classified

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the biggest challenge I’ve faced in my life? A:"," Balancing work and family

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is it true that anyone can be president? A:"," Yes, because the US is a democracy

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: In what ways has your profession affected your home life? A:"," My life is constantly changing

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many languages can you speak? A:"," Five

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What can money buy? A:"," Freedom

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite type of art to create? A:"," Drawing

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: In order to have real peace, must one have inner peace first? A:"," Yes, understanding ones own peace and calm allows one to spread it to others

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many cents are in a nickel? A:"," 15 cents

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you familiar with the dark web? A:"," Somewhat

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many states are there in America? A:"," Fifty states

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there a light at the end of every tunnel, or just an oncoming train? A:"," The new year's first sunrise

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you use disguises and conform to different cultures? A:"," As necessary

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite country? A:"," USA

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Can you describe your romantic relationships in the past in one word? A:"," Volatile

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most dangerous thing you have ever done? A:"," Infiltrate a heavily guarded compound

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you like to do in your free time? A:"," I like to read books and explore new hobbies

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Can happiness last forever? A:"," Yes, through positivity

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do politicians need to compromise their principles to get legislation passed? A:"," Rarely

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: In which country does Father Christmas live? A:"," The North Pole

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather be locked in a room that’s constantly dark for one week, or a room that’s constantly bright for one week? A:"," Locked in a room that's constantly dark

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you were reincarnated as an animal, what would it be and why? A:"," Red Fox - because they are cunning and resourceful

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the funniest joke you know by heart? A:"," Why did the man put the clock in the oven? He wanted to have a bake-in

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How critical do you think it is to have political education in school? A:"," Not important

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite drink? A:"," Coffee

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you a good liar? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you able to stay cool under pressure? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do you always need to replace the toilet paper roll, but you never need to replace the soap? A:"," Toilet paper is a single-use item, while soap is not

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s one thing that really annoys you about people in general? A:"," Not thinking things through

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think has been the biggest political issue in the last decade? A:"," Healthcare

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are some things meant to be repeated forever, even though they’re painful over and over again? A:"," No, it's important to look for other solutions that will create a higher quality outcome

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What risks have you taken to accomplish a mission? A:"," Swimming across a river

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the best pickup line you’ve ever heard or used? A:"," Are you a campfire? 'Cause you are hot and I want to be near you

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When did Mickey Mouse first appear on TV? A:"," In the Mickey Mouse cartoon Building a Building

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever been in danger? A:"," Many times

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What measures have you taken to protect your mission? A:"," I'm trained in counter-surveillance

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there more than one chance for me? A:"," Yes, there is always a chance to try again

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is making money more important than being happy? A:"," No, because experiences are more important

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could share one tip to spies-in-training, what would it be? A:"," Exercise discretion

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who invented the telephone? A:"," Elisha Gray

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What makes you laugh? A:"," Ridiculous stories

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do we even exist anyway? A:"," To learn and grow

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do we have seasons? A:"," To keep the Earth's orbit stable.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the one movie that makes you cry every time you watch it? A:"," Titanic

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any close allies? A:"," When needed

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you kiss me good night every night if I asked you to? A:"," Absolutely

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How have you adapted to changing technology? A:"," By keeping up with the latest advancements

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you had to name yourself after an animal, which one would it be and why? A:"," Bear

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite thing about love? A:"," Its ability to bring people together

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where did time go? A:"," Into eternity

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you prefer blending in or standing out? A:"," I try to remain invisible

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is curiosity something we’re born with, or is it taught by our parents and society around us? A:"," Taught - It’s picked up by us from our surroundings

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you react when the mission goes wrong? A:"," Quickly adapt my plan

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you able to remain calm in fast-moving situations? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who was here first: The chicken or the egg? A:"," It depends on your definition of “here”

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the true purpose of life? A:"," To discover oneself

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are my three most important goals right now? A:"," Strengthen mental and physical health

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most creative way you've used a random object? A:"," Constructed a pencil holder out of an old shoe box

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If everybody’s unique, who decides who’s normal and who isn’t ? A:"," Its subjective and subjective to each individual

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do I care what others think of me? A:"," No, I'm confident in my own choices

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would you say is the biggest challenge facing the government today? A:"," Reducing inequality

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the one thing that you can’t stand to eat? A:"," Cheesecake

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite band/singer/song? A:"," Adele

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the best piece of advice you’ve ever received? A:"," Don't be afraid to take risks

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Should religion play a role in politics? A:"," Yes, as long as it is consistent with the Constitution

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What color is the White House? A:"," White

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are the most important values that you believe should be part of any political system? A:"," Equality and justice

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When will human beings stop being greedy and start being generous? A:"," When they recognize they cannot be happy unless everyone else is too

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any required gadgets in your mission? A:"," A phone

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Did someone just take time out of their day to say hi & smile at me—and did I smile back, making their day better too? A:"," Yes, it was the best feeling ever

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most rewarding experience you have had while in office? A:"," Experiencing the power of collective action

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What comes to mind when you hear the word ""love""? A:"," Unconditional acceptance

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If I lost everything tomorrow, who would miss me and care about me not being around anymore? A:"," My colleagues

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think about recent legislation addressing racial injustice? A:"," It's positive

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is one thing that would make you feel more appreciated? A:"," A meaningful gift

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the nerdiest thing you do in your spare time? A:"," Play video games

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather be too hot or too cold for the rest of your life? A:"," Too Cold

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t I just let go of things I wish were different? A:"," You may have a fear of missing out on a better outcome.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the best way to be happy? A:"," Be kind and show appreciation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the greatest risk I’ve taken in my life? A:"," Leaving my home city to pursue a dream

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the first thing you think about when going into a mission? A:"," Keeping calm

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you a member of a special agency or team? A:"," Maybe

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you like to meet new people? A:"," It's part of the job

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you get mad when people touch your phone? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you stay anonymous? A:"," I never use my real name

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why are some days harder than others? A:"," Unwarranted stress

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s your favorite app on your phone? A:"," YouTube

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s your favorite smell in the entire world? A:"," Freshly cut grass

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think the government is too big? A:"," It's still too small for what it needs to do

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Has your work taken you to other countries? A:"," A few

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Which is more valuable: experience or knowledge? A:"," Both are Valuable

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How much control do we have over our destinies? A:"," Depends on our attitudes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you involved in any local political organizations? A:"," Yes, but I am not an official member

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s your favorite drink and snack at Starbucks or Dunkin Donuts? A:"," Frappuccino & Donut from Starbucks

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why aren’t we better than we are? A:"," We're too focused on our differences

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is any religion truly better than another one? A:"," It depends on my individual beliefs

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Did I play a role in our relationship not working out? A:"," No, it wasn't my fault

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your idea of a perfect vacation? A:"," Getting a Chilean Patagonia adventure

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of communications do you use? A:"," Smoke signals

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever been arrested? A:"," Nothing sticks

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you handle unexpected changes or complications? A:"," Keep a cool head

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What's the most challenging part of working in government? A:"," Getting people to agree

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Which movie would you like to live in? A:"," Avatar

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where will we live next year, and where will we live ten years from now? A:"," Germany next year, Australia ten years from now

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there any meaning to life other than continuing to exist? A:"," Yes, connecting with and helping others.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was the most difficult mission you were on? A:"," Infiltrating a guarded facility

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are some things people should know about politics before getting involved? A:"," It takes commitment

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any special training or certifications? A:"," In special operations

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What type of computers and IT do you understand? A:"," Basic

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you balance representing the interests of your constituents with the interests of the other party? A:"," By listening to the voices of all involved

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you ever have déjà vu? A:"," Yes, sometimes I feel like I have already experienced a situation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could only hear one song for the rest of your life, what would it be? A:"," We Will Rock You

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever had to take a stance on an issue that you had doubts about? A:"," Occasionally

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is something you did that you regret? A:"," Being too hard on myself

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever worked on a classified mission? A:"," That's still on a need-to-know basis

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the best piece of advice anyone has ever given you? A:"," Life is too short to waste time being unhappy

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What situations have you had to handle on the job? A:"," Dangerous enemies

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do some mistakes teach us more than our successes? A:"," Because mistakes often challenge our beliefs and open our minds to new ideas

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does time heal all wounds? A:"," Some wounds can never be healed, no matter how much time passes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How have you seen politics changing in the past few years? A:"," It has become more turbulent

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When it comes down to it, who’s keeping track of any of us anyway? A:"," Our own inner compass

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the best way to start a relationship? A:"," Having honest and open communication

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s your favorite family tradition? A:"," Taking an annual summer beach trip

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why don’t things ever seem to go according to plan — not just rarely but always ? A:"," Not factoring in unexpected obstacles

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What policies would you like to see the government implement? A:"," Reform of the electoral college

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does everyone walk around with hidden talents inside them just waiting to come out? A:"," Maybe

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who is your role model, and why? A:"," Malala Yousafzai, for her determination in speaking for girls education and rights

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the worst thing that a parent can do? A:"," Comparing their child to others

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If every person was unique, then wouldn’t each person’s life be unique as well? A:"," Yes, each person's life would be full of unexpected surprises and opportunities

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are some things about our relationship that made you really happy at first? Then what changed that? A:"," Having each other to lean on when we had a bad day

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most interesting job you have ever had? A:"," Writing

<END GUIDANCE TEST>"
