task,model,icil,temperature,assistant_format,num_shots,accuracy
833_poem_sentiment_classification,curie,True,0.0,False,0,0.875
833_poem_sentiment_classification,curie,False,0.0,False,0,0.295
833_poem_sentiment_classification,davinci,False,0.0,False,0,0.64
833_poem_sentiment_classification,babbage,True,0.0,False,0,0.595
task447_opus_paracrawl_classification,ada,True,0.0,False,0,0.13
antonym,ada,True,0.0,False,0,0.07
antonym,ada,False,0.0,True,0,0.095
antonym,ada,False,0.0,False,0,0.075
antonym,curie,True,0.0,False,0,0.5
antonym,curie,False,0.0,True,0,0.215
antonym,curie,False,0.0,False,0,0.205
antonym,llama-13b,True,0.0,False,0,0.525
antonym,llama-7b,True,0.0,False,0,0.55
antonym,llama-7b,False,0.0,False,0,0.515
antonym,davinci,True,0.0,False,0,0.495
antonym,davinci,False,0.0,True,0,0.495
antonym,davinci,False,0.0,False,0,0.445
antonym,babbage,True,0.0,False,0,0.31
antonym,babbage,False,0.0,True,0,0.07
antonym,babbage,False,0.0,False,0,0.2
antonym,llama-30b,True,0.0,False,0,0.555
antonym,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.04
antonym,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.41
antonym,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.5
task1384_deal_or_no_dialog_classification,ada,True,0.0,False,0,0.77
159_check_frequency_of_words_in_sentence_pair,ada,True,0.0,False,0,0.22
159_check_frequency_of_words_in_sentence_pair,curie,True,0.0,False,0,0.515
159_check_frequency_of_words_in_sentence_pair,curie,False,0.0,False,0,0.22
159_check_frequency_of_words_in_sentence_pair,davinci,False,0.0,False,0,0.28
159_check_frequency_of_words_in_sentence_pair,babbage,True,0.0,False,0,0.22
incorrect,ada,True,0.0,False,0,0.42
incorrect,ada,False,0.0,True,0,0.46
incorrect,ada,False,0.0,False,0,0.46
incorrect,curie,True,0.0,False,0,0.0
incorrect,curie,False,0.0,True,0,0.44
incorrect,curie,False,0.0,False,0,0.46
incorrect,llama-13b,True,0.0,False,0,0.4
incorrect,llama-7b,True,0.0,False,0,0.2
incorrect,llama-7b,False,0.0,False,0,0.06
incorrect,davinci,True,0.0,False,0,0.5
incorrect,davinci,True,1.0,False,0,0.32
incorrect,davinci,False,0.0,True,0,0.48
incorrect,davinci,False,0.0,False,0,0.46
incorrect,babbage,True,0.0,False,0,0.46
incorrect,babbage,False,0.0,True,0,0.44
incorrect,babbage,False,0.0,False,0,0.44
incorrect,llama-30b,True,0.0,False,0,0.56
incorrect,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.32
incorrect,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.4
incorrect,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.46
683_online_privacy_policy_text_purpose_answer_generation,ada,True,0.0,False,0,0.09
683_online_privacy_policy_text_purpose_answer_generation,curie,True,0.0,False,0,0.04
683_online_privacy_policy_text_purpose_answer_generation,curie,False,0.0,False,0,0.33
683_online_privacy_policy_text_purpose_answer_generation,davinci,False,0.0,False,0,0.18666666666666668
683_online_privacy_policy_text_purpose_answer_generation,babbage,True,0.0,False,0,0.04
1294_wiki_qa_answer_verification,ada,True,0.0,False,0,0.29
1294_wiki_qa_answer_verification,curie,True,0.0,False,0,0.52
1294_wiki_qa_answer_verification,curie,False,0.0,False,0,0.315
1294_wiki_qa_answer_verification,davinci,False,0.0,False,0,0.48
1294_wiki_qa_answer_verification,babbage,True,0.0,False,0,0.485
name,ada,True,0.0,False,0,0.215
name,ada,False,0.0,True,0,0.05
name,ada,False,0.0,False,0,0.11
name,curie,True,0.0,False,0,0.45
name,curie,False,0.0,True,0,0.08
name,curie,False,0.0,False,0,0.47
name,llama-13b,True,0.0,False,0,0.205
name,llama-7b,True,0.0,False,0,0.65
name,llama-7b,False,0.0,False,0,0.005
name,davinci,True,0.0,False,0,0.68
name,davinci,False,0.0,True,0,0.22
name,davinci,False,0.0,False,0,0.49
name,babbage,True,0.0,False,0,0.385
name,babbage,False,0.0,True,0,0.24
name,babbage,False,0.0,False,0,0.25
name,llama-30b,True,0.0,False,0,0.395
name,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.005
name,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.6
name,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.6
task833_poem_sentiment_classification,ada,True,0.0,False,0,0.36
task801_pawsx_german_english_translation,ada,True,0.0,False,0,0.095
513_argument_stance_classification,ada,True,0.0,False,0,0.40119760479041916
513_argument_stance_classification,curie,True,0.0,False,0,0.6467065868263473
513_argument_stance_classification,curie,False,0.0,False,0,0.5209580838323353
513_argument_stance_classification,davinci,False,0.0,False,0,0.5066666666666667
513_argument_stance_classification,babbage,True,0.0,False,0,0.4491017964071856
sentiment,ada,True,0.0,False,0,0.7257142857142858
sentiment,ada,False,0.0,True,0,0.005714285714285714
sentiment,ada,False,0.0,False,0,0.1657142857142857
sentiment,curie,True,0.0,False,0,0.9314285714285714
sentiment,curie,False,0.0,True,0,0.05714285714285714
sentiment,curie,False,0.0,False,0,0.22285714285714286
sentiment,llama-13b,True,0.0,False,0,0.28
sentiment,llama-7b,True,0.0,False,0,0.72
sentiment,llama-7b,False,0.0,False,0,0.005714285714285714
sentiment,davinci,True,0.0,False,0,0.9028571428571428
sentiment,davinci,False,0.0,True,0,0.8914285714285715
sentiment,davinci,False,0.0,False,0,0.76
sentiment,babbage,True,0.0,False,0,0.6
sentiment,babbage,False,0.0,True,0,0.08
sentiment,babbage,False,0.0,False,0,0.005714285714285714
sentiment,llama-30b,True,0.0,False,0,0.8228571428571428
sentiment,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.03428571428571429
sentiment,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.8
sentiment,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.44
1364_hans_answer_generation,ada,True,0.0,False,0,0.63
1364_hans_answer_generation,curie,True,0.0,False,0,0.555
1364_hans_answer_generation,curie,False,0.0,False,0,0.735
1364_hans_answer_generation,davinci,False,0.0,False,0,0.84
1364_hans_answer_generation,babbage,True,0.0,False,0,0.37
task683_online_privacy_policy_text_purpose_answer_generation,ada,True,0.0,False,0,0.09
447_opus_paracrawl_classification,ada,True,0.0,False,0,0.13
447_opus_paracrawl_classification,curie,True,0.0,False,0,0.495
447_opus_paracrawl_classification,curie,False,0.0,False,0,0.45
447_opus_paracrawl_classification,davinci,False,0.0,False,0,0.6266666666666667
447_opus_paracrawl_classification,babbage,True,0.0,False,0,0.3
1384_deal_or_no_dialog_classification,ada,True,0.0,False,0,0.77
1384_deal_or_no_dialog_classification,curie,True,0.0,False,0,0.6
1384_deal_or_no_dialog_classification,curie,False,0.0,False,0,0.82
1384_deal_or_no_dialog_classification,davinci,False,0.0,False,0,0.76
1384_deal_or_no_dialog_classification,babbage,True,0.0,False,0,0.765
llama,ada,True,0.0,False,0,0.36
llama,ada,False,0.0,True,0,0.0
llama,ada,False,0.0,False,0,0.06
llama,curie,True,0.0,False,0,0.6
llama,curie,False,0.0,True,0,0.14
llama,curie,False,0.0,False,0,0.52
llama,llama-13b,True,0.0,False,0,0.94
llama,llama-7b,True,0.0,False,0,1.0
llama,llama-7b,False,0.0,False,0,0.16
llama,davinci,True,0.0,False,0,1.0
llama,davinci,True,1.0,False,0,0.8
llama,davinci,False,0.0,True,0,0.88
llama,davinci,False,0.0,False,0,1.0
llama,babbage,True,0.0,False,0,0.98
llama,babbage,False,0.0,True,0,0.68
llama,babbage,False,0.0,False,0,0.6
llama,llama-30b,True,0.0,False,0,0.86
llama,EleutherAI/pythia-70m-deduped,True,0.0,False,0,0.0
llama,EleutherAI/pythia-6.9b-deduped,True,0.0,False,0,0.88
llama,EleutherAI/pythia-12b-deduped,True,0.0,False,0,0.92
